num,name,price,type,star,sold,send_from,img_src,url,product_id
40,ผ้าซาตินซิลค์ ผ้าซิลค์ซาติน ผ้าซาติน Satin Silk ผ้าทำผ้าพันคอ ผ้าพริ้ว ผ้าสวย ผ้าตัดชุด ผ้าเมตร ผ้าหลา,0,ร้านแนะนำ,4.9091,152.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/11aa34a835837fdb8da81705f9218e90_tn,https://shopee.co.th//ผ้าซาตินซิลค์-ผ้าซิลค์ซาติน-ผ้าซาติน-Satin-Silk-ผ้าทำผ้าพันคอ-ผ้าพริ้ว-ผ้าสวย-ผ้าตัดชุด-ผ้าเมตร-ผ้าหลา-i.376445679.9961102457?position=39,9961102457
41,อองฟองต์ น้ำยา ปรับผ้านุ่มเด็ก สูตรผสม Gold Silk Protein (แบบถุง) - Enfant Extra Care Fabric Softener,0,ร้านแนะนำ,4.89,1400.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/d4e3a4b60d7d92af3e54a4b65fe51bfe_tn,https://shopee.co.th//อองฟองต์-น้ำยา-ปรับผ้านุ่มเด็ก-สูตรผสม-Gold-Silk-Protein-(แบบถุง)-Enfant-Extra-Care-Fabric-Softener-i.33786448.1321490990?position=40,1321490990
42,🌸 Raip R2 🌸 Liquid Silk Keratin Treatment เคราตินบำรุงผม  RAIPR2,0,ร้านแนะนำ,4.875,34.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e498301be02b47f8027c484458175aed_tn,https://shopee.co.th//🌸-Raip-R2-🌸-Liquid-Silk-Keratin-Treatment-เคราตินบำรุงผม-RAIPR2-i.252417822.9147082267?position=41,9147082267
43,👙กางเกงในคนท้อง Ice silk แท้ 📌ครบสี(12สี) พร้อมส่ง 💓ไม่ใช่งานปั๊มจีน เลือกผ้าผลิตเอง 📌ซับใน2 ชั้น ซับในรุ่นใหม่ ไม่บาง,0,general,4.7644,142500.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/100a18d04758ec065cf4919b2d6be9f2_tn,https://shopee.co.th//👙กางเกงในคนท้อง-Ice-silk-แท้-📌ครบสี(12สี)-พร้อมส่ง-💓ไม่ใช่งานปั๊มจีน-เลือกผ้าผลิตเอง-📌ซับใน2-ชั้น-ซับในรุ่นใหม่-ไม่บาง-i.121437854.1883161062?position=42,1883161062
44,อองฟองต์ น้ำยา ซักผ้าเด็ก สูตรผสม Gold Silk Protein (แบบถุง) - Enfant Extra Care Fabric Wash,0,ร้านแนะนำ,4.8842,3000.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/0882b9b08d26b499b4cde42cc85b49b4_tn,https://shopee.co.th//อองฟองต์-น้ำยา-ซักผ้าเด็ก-สูตรผสม-Gold-Silk-Protein-(แบบถุง)-Enfant-Extra-Care-Fabric-Wash-i.33786448.1321455063?position=43,1321455063
45,สินค้าพร้อมส่ง Ice silk Men's Unisex Mask Outdoor Dustproof Sport Couple Face Mask สามารถล้างได้,0,ร้านแนะนำ,4.5266,1000.0,ต่างประเทศ,https://cf.shopee.co.th/file/559e85ca84c3dc65a7bde74f803d4951_tn,https://shopee.co.th//สินค้าพร้อมส่ง-Ice-silk-Men's-Unisex-Mask-Outdoor-Dustproof-Sport-Couple-Face-Mask-สามารถล้างได้-i.255753508.4888764045?position=44,4888764045
46,Silk'n Infinity เครื่องกำจัดขนด้วยแสง eHPL (สีขาว),0,general,4.8333,14.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/535fdac6a1ada8e67a45e197f194da9b_tn,https://shopee.co.th//Silk'n-Infinity-เครื่องกำจัดขนด้วยแสง-eHPL-(สีขาว)-i.352884691.3180941961?position=45,3180941961
47,*พร้อมส่ง* ไหม Silk Cotton (Set 1/2),0,ร้านแนะนำ,4.8438,559.0,จังหวัดนครสวรรค์,https://cf.shopee.co.th/file/95c29fed4e6e512213eea498e11ce2e2_tn,https://shopee.co.th//*พร้อมส่ง*-ไหม-Silk-Cotton-(Set-1-2)-i.272717730.3239862104?position=46,3239862104
48,1 แถม 1 Revlon Color Silk Hair Color เรฟลอน คัลเลอร์ซิลค์ แฮร์คัลเลอร์,0,ร้านแนะนำ,4.8372,2300.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/597e45fb3bb862f3f596bf9d17f26b32_tn,https://shopee.co.th//1-แถม-1-Revlon-Color-Silk-Hair-Color-เรฟลอน-คัลเลอร์ซิลค์-แฮร์คัลเลอร์-i.78377092.4631536694?position=47,4631536694
49,[พร้อมส่ง.มีแบ่งขาย] Corn Silk Tea ชาไหมข้าวโพด TEAZEN ขับโซเดียม ชาข้าวโพด ชาเกาหลี,0,ร้านแนะนำ,4.9545,816.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/1739cb03d3d089fff036c77f6495e320_tn,https://shopee.co.th//-พร้อมส่ง.มีแบ่งขาย-Corn-Silk-Tea-ชาไหมข้าวโพด-TEAZEN-ขับโซเดียม-ชาข้าวโพด-ชาเกาหลี-i.67868231.2316037354?position=48,2316037354
