num,id,name,price,rating,review,rank,img_src,url
93,B094DR55DZ,"Knorr Granulated Bouillon, Chicken Flavor, 7.9 oz (Pack of 2) with By The Cup Swivel Spoon",out of stock,no rating,no review,not be a best,https://m.media-amazon.com/images/I/811PyM1QBxS._AC_UL320_.jpg,https://www.amazon.com//Granulated-Bouillon-Chicken-Flavor-Cup/dp/B094DR55DZ/ref=sr_1_48?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-48
94,B018233TX6,"Betty Crocker Chicken Helper, Fettuccine Alfredo, 8.7 oz (Pack of 12)",$37.40,4.2 out of 5 stars,21,not be a best,https://m.media-amazon.com/images/I/81ESpfq2umL._AC_UL320_.jpg,https://www.amazon.com//Crocker-Chicken-Helper-Fettuccine-Alfredo/dp/B018233TX6/ref=sr_1_49?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-49
95,B00E3AYVA8,Sweet Sue Canned Whole Chicken without Giblets 50oz Can (Pack of 1),out of stock,4.1 out of 5 stars,120,not be a best,https://m.media-amazon.com/images/I/31YPFVcHntL._AC_UL320_.jpg,https://www.amazon.com//Sweet-Sue-Chicken-without-Giblets/dp/B00E3AYVA8/ref=sr_1_50?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-50
96,B081XWR172,"Kirkland Signature Premium Chunk Chicken Breast Packed in Water, 12.5 Ounce, 6 Count - PACK OF 2",$33.95,4.4 out of 5 stars,34,not be a best,https://m.media-amazon.com/images/I/81Pu-1NE++L._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Premium-Chicken-Breast/dp/B081XWR172/ref=sr_1_51?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-51
97,B0029TAT9M,"Campbell's Condensed Chicken Broth, 10.5 oz. Can (Pack of 12) (Packaging May Vary)",out of stock,4.7 out of 5 stars,335,not be a best,https://m.media-amazon.com/images/I/81b9L3xtVgL._AC_UL320_.jpg,https://www.amazon.com//Campbells-Condensed-Chicken-Broth-10-5-Pack/dp/B0029TAT9M/ref=sr_1_53?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-53
98,B01N9CV3MN,Chickens,$14.99,4.6 out of 5 stars,194,not be a best,https://m.media-amazon.com/images/I/617zA+Nbs5L._AC_UL320_.jpg,https://www.amazon.com//Chickens/dp/B01N9CV3MN/ref=sr_1_54?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-54
99,B08TR91JSD,"Gourmet Chicken Sampler from Omaha Steaks (Chicken Cordon Bleu, Stuffed Chicken with Wild Rice, Stuffed Chicken Parmesan, Broccoli & Cheese Stuffed Chicken Breasts, and more)",$79.99,5.0 out of 5 stars,1,not be a best,https://m.media-amazon.com/images/I/81DhHt3P2TL._AC_UL320_.jpg,https://www.amazon.com//Omaha-Steaks-Parmesan-Broccoli-Artichoke/dp/B08TR91JSD/ref=sr_1_55?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-55
100,B00BHR2IHI,"Campbell's Condensed Chicken Noodle Soup, 10.75 Ounce Can with Pop-Top Lid (Pack of 4) (Packaging May Vary)",out of stock,4.7 out of 5 stars,"8,366",Best Seller,https://m.media-amazon.com/images/I/81gU+PVd2-L._AC_UL320_.jpg,https://www.amazon.com//Campbells-Condensed-Chicken-Noodle-10-75/dp/B00BHR2IHI/ref=sr_1_56?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-56
101,B000F2RIQC,"Lawry's Perfect Blend Chicken Rub And Seasoning, 24.5 oz",out of stock,4.7 out of 5 stars,"1,794",not be a best,https://m.media-amazon.com/images/I/81CIh0OpJ9L._AC_UL320_.jpg,https://www.amazon.com//Lawrys-Perfect-Chicken-Seasoning-Thanksgiving/dp/B000F2RIQC/ref=sr_1_57?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-57
102,B06Y6LW1VT,Badia Rotisserie Chicken Seasoning 22 oz,$16.40,4.6 out of 5 stars,490,not be a best,https://m.media-amazon.com/images/I/81eA5aKvMvL._AC_UL320_.jpg,https://www.amazon.com//Badia-Rotisserie-Chicken-Seasoning-22/dp/B06Y6LW1VT/ref=sr_1_58?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-58
103,B00W4QQLCE,"Simply Organic Chicken Grilling Seasons, Certified Organic, Vegan, Vegetarian | 1.1 oz",out of stock,4.6 out of 5 stars,171,not be a best,https://m.media-amazon.com/images/I/51KFRhgQMnL._AC_UL320_.jpg,https://www.amazon.com//Simply-Organic-Grilling-Seasons-Chicken/dp/B00W4QQLCE/ref=sr_1_59?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-59
104,B06XCDQ3M2,Herb-Ox Bouillon Cubes Chicken Bouillon 25 Count 3.33-oz (Pack of 2),out of stock,4.7 out of 5 stars,192,not be a best,https://m.media-amazon.com/images/I/A1T-BvpQ49L._AC_UL320_.jpg,https://www.amazon.com//Herb-Ox-Bouillon-Cubes-Chicken-3-33-oz/dp/B06XCDQ3M2/ref=sr_1_60?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-60
105,B08L4VXCSW,"Chicken of the Sea Infusions Tuna, 6 Flavor Variety Pack, 2.8 Oz Cups (Pack of 6)",out of stock,4.5 out of 5 stars,"2,551",not be a best,https://m.media-amazon.com/images/I/710RuJehYXL._AC_UL320_.jpg,https://www.amazon.com//Chicken-Sea-Infusions-Flavor-Variety/dp/B08L4VXCSW/ref=sr_1_61?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-61
106,B011Q21H1G,Chicken Shit Poultry Seasoning,$14.15,4.7 out of 5 stars,"1,032",not be a best,https://m.media-amazon.com/images/I/61B4OYizaeL._AC_UL320_.jpg,https://www.amazon.com//Big-Cock-Chicken-Poultry-Seasoning/dp/B011Q21H1G/ref=sr_1_62?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-62
107,B01LVZAWYG,Rub Your Chicken Rotisserie Flavor Seasoning - Pack of 3 6 Ounce Jars,$27.79,5.0 out of 5 stars,16,not be a best,https://m.media-amazon.com/images/I/41+1knUixjL._AC_UL320_.jpg,https://www.amazon.com//Your-Chicken-Rotisserie-Flavor-Seasoning/dp/B01LVZAWYG/ref=sr_1_63?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-63
108,B0001DMTNC,Lee Kum Kee Chicken Bouillon - Chicken Powder (8 oz.),$13.00,4.5 out of 5 stars,468,not be a best,https://m.media-amazon.com/images/I/71FSaE+jaFL._AC_UL320_.jpg,https://www.amazon.com//Lee-Kum-Kee-Chicken-Bouillon/dp/B0001DMTNC/ref=sr_1_64?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-64
109,B08MCQ2VHP,"Vegan Chicken Protein & Original Chicken Salt Seasoning Combo - Plant Based Chick'n Mix, Meat Substitute, Soy Free Meatless Products, TVP, 5.8oz - Chicken Salt is Vegan, Keto & Paleo Friendly",$19.99,3.9 out of 5 stars,291,not be a best,https://m.media-amazon.com/images/I/81plaUz7uQL._AC_UL320_.jpg,https://www.amazon.com//Vegan-Chicken-Protein-Original-Seasoning/dp/B08MCQ2VHP/ref=sr_1_65?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854996&sprefix=ch%2Caps%2C415&sr=8-65
