num,name,price,type,sold,from,img_src,url
21,นักเกตไก่1kg.💥ค่าส่ง99฿คละได้ทั้งร้าน❗️ ❌อ่านรายละเอียดก่อนสั่งซื้อ🚚💨ส่งขนส่งรถห้องเย็นอินเตอร์เอ็กเพลส ❄️,฿155,general,ขายแล้ว 30 ชิ้น,จังหวัดพระนครศรีอยุธยา,https://cf.shopee.co.th/file/a23c62e21986d932ee66939cea6b0972_tn,https://shopee.co.th//นักเกตไก่1kg.💥ค่าส่ง99฿คละได้ทั้งร้าน❗️-❌อ่านรายละเอียดก่อนสั่งซื้อ🚚💨ส่งขนส่งรถห้องเย็นอินเตอร์เอ็กเพลส-❄️-i.64528500.6453485105
22,ไก่ตุ๋นโสมเกาหลี sunbong samgyetang ginseng chicken soup 1kg 삼계탕,฿345,ร้านแนะนำ,ขายแล้ว 2 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/4cfca80c3660044d41ae20f481dfc509_tn,https://shopee.co.th//ไก่ตุ๋นโสมเกาหลี-sunbong-samgyetang-ginseng-chicken-soup-1kg-삼계탕-i.211550487.9553513460
23,ไก่เชียงรอบีอ๊ะห์ (แท่งใหญ่)ของแท้จากโรงงาน มีฮาลาล ขนาด 500 กรัม,฿101,ร้านแนะนำ,ขายแล้ว 51 ชิ้น,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/a5f47cd3573c07f34bd69da9e36af9db_tn,https://shopee.co.th//ไก่เชียงรอบีอ๊ะห์-(แท่งใหญ่)ของแท้จากโรงงาน-มีฮาลาล-ขนาด-500-กรัม-i.210609322.7181925891
24,ไก่ทอดคาราเกะสไตล์ญี่ปุ่นคาร์กิลล์ รสสไปซี่ ขนาด 1 กก. (40-50 ชิ้น),฿130 - ฿145,ร้านแนะนำ,ขายแล้ว 35 ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/99a838f6e50a8a58e80c26d979177933_tn,https://shopee.co.th//ไก่ทอดคาราเกะสไตล์ญี่ปุ่นคาร์กิลล์-รสสไปซี่-ขนาด-1-กก.-(40-50-ชิ้น)-i.35173471.7162371418
25,ไก่เชียงรอบีอ๊ะห์ ของแท้จากโรงงาน มีฮาลาล ขนาด 500 กรัม,฿95,ร้านแนะนำ,ขายแล้ว 5.1พัน ชิ้น,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/e776cf422a8d185930a66345bcae913b_tn,https://shopee.co.th//ไก่เชียงรอบีอ๊ะห์-ของแท้จากโรงงาน-มีฮาลาล-ขนาด-500-กรัม-i.210609322.4529735628
26,ไก่คาราเกะ สไตล์ญี่ปุ่นเนื้อฉ่ำ แพคละ 1 กิโล!! (30+ชิ้น),฿119,general,ขายแล้ว 20 ชิ้น,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/3b9b683155a5fc3ea66c1fcf796e60da_tn,https://shopee.co.th//ไก่คาราเกะ-สไตล์ญี่ปุ่นเนื้อฉ่ำ-แพคละ-1-กิโล!!-(30-ชิ้น)-i.376140428.7485044239
27,จ้อปู จ้อไก่ ข้อกุ้ง  สะอาด สด ใหม่ ถูกหลักอนามัย 500กรัม,฿49,ร้านแนะนำ,ขายแล้ว 54 ชิ้น,จังหวัดพระนครศรีอยุธยา,https://cf.shopee.co.th/file/09dccde168afaec835e4828f01c0c92a_tn,https://shopee.co.th//จ้อปู-จ้อไก่-ข้อกุ้ง-สะอาด-สด-ใหม่-ถูกหลักอนามัย-500กรัม-i.212204732.9313670292
28,ขาไก่สัมมากรในตำนานหอมอร่อยรสชาติที่คุ้นลิ้นหอมเนย,฿39 - ฿169,general,ขายแล้ว 401 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c9461f933aa201ce447ddec4a0f225d3_tn,https://shopee.co.th//ขาไก่สัมมากรในตำนานหอมอร่อยรสชาติที่คุ้นลิ้นหอมเนย-i.8437328.7443145865
29,ไก่นักเก็ต1kg(เกรดส่งออก)**คุณภาพเยี่ยม**,฿129,general,ขายแล้ว 1.1พัน ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/af5facb6d09e2a6c453870aade35925c_tn,https://shopee.co.th//ไก่นักเก็ต1kg(เกรดส่งออก)**คุณภาพเยี่ยม**-i.78049439.5403724161
30,มินิไก่ป๊อบสไปซี่ / มินิไก่ป๊อบดั้งเดิม แพค 1 กก. (125-130 ชิ้น),฿140 - ฿155,ร้านแนะนำ,ขายแล้ว 205 ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/de078a4dd2e8673af8a9447b47b4c5bc_tn,https://shopee.co.th//มินิไก่ป๊อบสไปซี่-มินิไก่ป๊อบดั้งเดิม-แพค-1-กก.-(125-130-ชิ้น)-i.35173471.4642302638
31,ไก่เด้งนมสดปิ้งจ้าาาา😋🍗🍗😋อร่อยมากๆแค่ฉีกซองเวฟก็พร้อมเสริฟความอร่อยง่ายๆในแบบคีโต,฿99,ร้านแนะนำ,ขายแล้ว 23 ชิ้น,จังหวัดบุรีรัมย์,https://cf.shopee.co.th/file/78730804dd69c653c8aebf4882477330_tn,https://shopee.co.th//ไก่เด้งนมสดปิ้งจ้าาาา😋🍗🍗😋อร่อยมากๆแค่ฉีกซองเวฟก็พร้อมเสริฟความอร่อยง่ายๆในแบบคีโต-i.261204974.9335704357
