num,name,price,type,star,sold,from,img_src,url
51,(bee)(bee)กระเทียมโทนดองน้ำผึ้ง(bee)(bee) น้ำใสปิ๊ง รสกลมกล่อมดีงาม,฿115,ร้านแนะนำ,4.8571,37.0,จังหวัดนครราชสีมา,https://cf.shopee.co.th/file/9c125cdd4b44e071ff80225b80ee6cdb_tn,https://shopee.co.th//(bee)(bee)กระเทียมโทนดองน้ำผึ้ง(bee)(bee)-น้ำใสปิ๊ง-รสกลมกล่อมดีงาม-i.79572975.2733863306
52,กระเทียมดองกรอบอร่อย ขนาด400กรัม,฿75,general,4.9333,23.0,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/15441dfb61234afef8cc4ab86af5e179_tn,https://shopee.co.th//กระเทียมดองกรอบอร่อย-ขนาด400กรัม-i.30378838.3654332895
53,กระเทียมโทนดองน้ำผึ้ง ตรารถม้า น้ำหนัก 870 กรัม ราคา 190 บาท,฿190,general,5.0,23.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/6e7b02ffb7048042c8ec04b822e81454_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ตรารถม้า-น้ำหนัก-870-กรัม-ราคา-190-บาท-i.239911533.3823626861
54,กระเทียมโทนดอง น้ำผึ้ง กระปุกเล็ก ขนาด 200g #Pickled Honey Garlic,฿99,ร้านแนะนำ,4.75,19.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/614271a6523e95c6f886902cea1e59b0_tn,https://shopee.co.th//กระเทียมโทนดอง-น้ำผึ้ง-กระปุกเล็ก-ขนาด-200g-Pickled-Honey-Garlic-i.138740957.2096064603
55,กระเทียมโทนน้ำผึ้ง 150กรัม ตราแสนผึ้ง,฿45,general,5.0,53.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/ee47c79bd1ecab0a53f031e9a5d1e2a6_tn,https://shopee.co.th//กระเทียมโทนน้ำผึ้ง-150กรัม-ตราแสนผึ้ง-i.73984329.2733639898
56,กระเทียมโทนดอง 3 รส กระปุกเล็ก ขนาด 200g #Pickled Green Garlic,฿99,ร้านแนะนำ,4.8667,26.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//กระเทียมโทนดอง-3-รส-กระปุกเล็ก-ขนาด-200g-Pickled-Green-Garlic-i.138740957.2096588757
57,[GM]กระเทียมโทนดองสามรส น้ำหนักเนื้อ 230 กรัม น้ำหนักรวม 600 กรัม ไร้สารฟอกขาว,฿120,ร้านแนะนำ,4.8636,35.0,จังหวัดเชียงใหม่,no image,https://shopee.co.th//-GM-กระเทียมโทนดองสามรส-น้ำหนักเนื้อ-230-กรัม-น้ำหนักรวม-600-กรัม-ไร้สารฟอกขาว-i.54833404.2248761268
58,กระเทียมโทนดองน้ำผึ้ง ตราผึ้ง ขวดใหญ่,฿210,general,4.8571,19.0,จังหวัดฉะเชิงเทรา,no image,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ตราผึ้ง-ขวดใหญ่-i.96593978.1867278994
59,กระเทียมโทนสด ป่าไผ่ ถุงครึ่งโล,฿100,general,4.8947,204.0,จังหวัดปทุมธานี,no image,https://shopee.co.th//กระเทียมโทนสด-ป่าไผ่-ถุงครึ่งโล-i.76165427.5809285541
60,กระเทียมโทนดองสามรส น้ำหนักเนื้อ 600 กรัม น้ำหนักรวม 800 กรัม,฿200,ร้านแนะนำ,4.898,84.0,จังหวัดเชียงใหม่,no image,https://shopee.co.th//กระเทียมโทนดองสามรส-น้ำหนักเนื้อ-600-กรัม-น้ำหนักรวม-800-กรัม-i.54833404.2179026215
